codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,afinidad,ganador_codpar,ganador_pct,potencial_no_votante
25085,SARDINATA,NORTE DE SAN,Catatumbo / Frontera,20495,10643,947,8.89,0.08897867142722916,10,81.89,9852
01256,SANTUARIO,ANTIOQUIA,Antioquia rural uribista,31144,21930,2126,9.69,0.09694482444140447,10,73.85,9214
01220,SALGAR,ANTIOQUIA,Antioquia rural uribista,14228,5752,454,7.89,0.07892906815020863,10,69.97,8476
25070,RAGONVALIA,NORTE DE SAN,Catatumbo / Frontera,10042,2905,185,6.36,0.06368330464716007,10,83.2,7137
25094,TOLEDO,NORTE DE SAN,Catatumbo / Frontera,13192,7751,771,9.94,0.09947103599535544,10,79.71,5441
01190,NARIÑO,ANTIOQUIA,Antioquia rural uribista,8793,3750,315,8.4,0.084,10,63.54,5043
