codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,ganador_codpar,ganador_pct,potencial_no_votante,brecha_votos_vs_ganador,nbi_score,score_oportunidad
52035,GRANADA,META,Llanos petroleros,60539,35468,11123,31.36,10,54.67,25071,8270,0.4,16683.0
52043,PUERTO GAITAN,META,Llanos petroleros,57552,34430,15043,43.69,7,43.69,23122,0,0.4,16527.0
15088,FUNZA,CUNDINAMARCA,Bogotá región,81479,58361,25293,43.33,7,43.33,23118,0,0.4,16491.0
29046,ESPINAL,TOLIMA,Sur Tolima-Huila-Caquetá,62996,38838,13830,35.6,10,44.59,24158,3490,0.4,16486.0
01259,SEGOVIA,ANTIOQUIA,Antioquia rural uribista,33611,11981,6457,53.89,7,53.89,21630,0,0.4,16343.0
01133,GIRARDOTA,ANTIOQUIA,Antioquia metropolitana,56839,31629,8511,26.9,10,50.84,25210,7570,0.4,16327.0
13004,AYAPEL,CORDOBA,Caribe + Magdalena Medio,36724,14331,6663,46.49,10,47.7,22393,173,0.4,16257.0
31082,PRADERA,VALLE,Valle del Cauca,42523,23144,16082,69.48,7,69.48,19379,0,0.4,15851.0
01166,LA ESTRELLA,ANTIOQUIA,Antioquia metropolitana,66893,42053,10269,24.41,10,53.69,24840,12310,0.4,15840.0
19034,GARZON,HUILA,Sur Tolima-Huila-Caquetá,61091,36725,10038,27.33,10,59.62,24366,11859,0.4,15822.0
54001,SAN JOSE DEL GUAVIARE,GUAVIARE,Amazonía,48325,25271,9150,36.2,10,47.64,23054,2890,0.4,15788.0
29040,CHAPARRAL,TOLIMA,Sur Tolima-Huila-Caquetá,41788,18909,6450,34.11,10,48.36,22879,2696,0.4,15476.0
28040,COROZAL,SUCRE,Caribe + Magdalena Medio,50627,30942,17816,57.57,7,57.57,19685,0,0.4,15164.0
40025,SARAVENA,ARAUCA,Llanos petroleros,41399,20253,8924,44.06,7,44.06,21146,0,0.4,15146.0
01043,BARBOSA,ANTIOQUIA,Antioquia metropolitana,46982,23983,6929,28.89,10,48.43,22999,4688,0.4,15077.0
64001,MOCOA,PUTUMAYO,Amazonía,43380,25001,17187,68.74,7,68.74,18379,0,0.4,14979.0
72006,CUMARIBO,VICHADA,Llanos petroleros,25298,7756,6066,78.21,7,78.21,17542,0,0.4,14961.0
13032,PUERTO LIBERTADOR,CORDOBA,Caribe + Magdalena Medio,32704,15047,10511,69.85,7,69.85,17657,0,0.4,14468.0
21010,ARACATACA,MAGDALENA,Caribe norte,30598,12389,7645,61.7,7,61.7,18209,0,0.4,14327.0
09034,CHINCHINA,CALDAS,Eje cafetero,47723,26429,8441,31.93,10,45.16,21294,3495,0.4,14219.0
52005,ACACIAS,META,Llanos petroleros,78857,57447,17424,30.33,10,53.45,21410,13287,0.4,14159.0
01270,TARAZA,ANTIOQUIA,Antioquia rural uribista,25378,6679,3594,53.81,7,53.81,18699,0,0.4,14122.0
31037,DAGUA,VALLE,Valle del Cauca,38323,19279,9228,47.86,7,47.86,19044,0,0.4,13930.0
23016,BARBACOAS,NARIÑO,Sur andino Nariño,24240,7919,6204,78.34,7,78.34,16321,0,0.4,13928.0
01205,PUERTO BERRIO,ANTIOQUIA,Magdalena Medio,34906,14764,5517,37.36,10,50.41,20142,1927,0.4,13887.0
21049,PIVIJAY,MAGDALENA,Caribe norte,31109,13080,7442,56.89,7,56.89,18029,0,0.4,13839.0
31124,ZARZAL,VALLE,Valle del Cauca,40013,22316,13457,60.3,7,60.3,17697,0,0.4,13825.0
64023,ORITO,PUTUMAYO,Amazonía,31867,15852,12783,80.63,7,80.63,16015,0,0.4,13814.0
13055,SAN PELAYO,CORDOBA,Caribe + Magdalena Medio,38845,20610,11037,53.55,7,53.55,18235,0,0.4,13753.0
03037,PUERTO COLOMBIA,ATLANTICO,Caribe norte,39762,21561,11515,53.4,7,53.4,18201,0,0.4,13717.0
50001,INIRIDA,GUAINIA,Amazonía,27879,9524,4926,51.72,7,51.72,18355,0,0.4,13709.0
48007,FONSECA,LA GUAJIRA,Caribe norte,32395,15065,9393,62.34,7,62.34,17330,0,0.4,13680.0
19049,LA PLATA,HUILA,Sur Tolima-Huila-Caquetá,47132,26435,7829,29.61,10,55.49,20697,6842,0.4,13628.0
17019,ISTMINA,CHOCO,Pacífico afro,24332,8367,6263,74.85,7,74.85,15965,0,0.4,13401.0
23142,TUQUERRES,NARIÑO,Sur andino Nariño,36133,20286,15394,75.88,7,75.88,15847,0,0.4,13368.0
31097,SEVILLA,VALLE,Valle del Cauca,37664,18725,7716,41.2,7,41.2,18939,0,0.4,13349.0
44010,SAN VICENTE DEL CAGUAN,CAQUETA,Sur Tolima-Huila-Caquetá,42016,23742,11114,46.81,7,46.81,18274,0,0.4,13290.0
64028,VALLE DEL GUAMUEZ (LA HORMIGA),PUTUMAYO,Amazonía,30448,15068,12120,80.43,7,80.43,15380,0,0.4,13254.0
12200,BOSCONIA,CESAR,Caribe norte,33616,16232,9008,55.49,7,55.49,17384,0,0.4,13246.0
28160,SAMPUES,SUCRE,Caribe + Magdalena Medio,36533,20014,12495,62.43,7,62.43,16519,0,0.4,13045.0
40005,TAME,ARAUCA,Llanos petroleros,39412,19696,5972,30.32,10,54.11,19716,4686,0.4,13038.0
13046,SAN BERNARDO DEL VIENTO,CORDOBA,Caribe + Magdalena Medio,28983,12747,8369,65.65,7,65.65,16236,0,0.4,13031.0
05079,SAN JUAN NEPOMUCENO,BOLIVAR,Caribe + Magdalena Medio,32807,14433,5954,41.25,10,52.71,18374,1655,0.4,12954.0
25064,PAMPLONA,NORTE DE SAN,Catatumbo / Frontera,49125,29249,7507,25.66,10,57.6,19876,9343,0.4,12774.0
12608,LA JAGUA DE IBIRICO,CESAR,Caribe norte,32766,16517,9472,57.34,7,57.34,16249,0,0.4,12502.0
13040,SAN ANDRES DE SOTAVENTO,CORDOBA,Caribe + Magdalena Medio,32490,16905,10960,64.83,7,64.83,15585,0,0.4,12458.0
48013,SAN JUAN DEL CESAR,LA GUAJIRA,Caribe norte,36558,18711,7360,39.33,10,54.68,17847,2872,0.4,12445.0
48005,DIBULLA,LA GUAJIRA,Caribe norte,24486,8789,5527,62.88,7,62.88,15697,0,0.4,12425.0
09103,RIOSUCIO,CALDAS,Eje cafetero,41284,23537,9331,39.64,10,41.81,17747,512,0.4,12398.0
24046,LA VIRGINIA,RISARALDA,Eje cafetero,34065,16860,7601,45.08,7,45.08,17205,0,0.4,12393.0
