codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
88375,FINLANDIA,CONSULADOS,Exterior (consulados),554,302,252,4,0,141,46.68,70,23.17,35,-71,23.509999999999998
88770,TURQUIA,CONSULADOS,Exterior (consulados),441,225,216,3,0,119,52.88,57,25.33,17,-62,27.550000000000004
31040,CALIMA (DARIEN),VALLE,Valle del Cauca,15587,8344,7243,206,31,3637,43.58,3579,42.89,221,-58,0.6899999999999977
17004,ACANDI,CHOCO,Pacífico afro,10929,4138,6791,64,24,1944,46.97,1887,45.6,28,-57,1.3699999999999974
12625,MANAURE BALCON DEL CESAR (MANA,CESAR,Caribe norte,9290,5121,4169,47,15,2434,47.52,2382,46.51,75,-52,1.0100000000000051
88445,HUNGRIA,CONSULADOS,Exterior (consulados),390,246,144,10,0,106,43.08,54,21.95,38,-52,21.13
68010,MORICHAL (PAPUNAGUA),VAUPES,Amazonía,186,85,101,1,0,61,71.76,17,20.0,1,-44,51.760000000000005
50083,MORICHAL (MORICHAL NUEVO),GUAINIA,Amazonía,238,56,182,0,0,43,76.78,4,7.14,1,-39,69.64
52027,EL CASTILLO,META,Llanos petroleros,6339,3401,2938,80,10,1529,44.95,1496,43.98,37,-33,0.970000000000006
60017,LA VICTORIA,AMAZONAS,Amazonía,75,29,46,1,0,28,96.55,0,0.0,0,-28,96.55
50073,CACAHUAL,GUAINIA,Amazonía,265,41,224,3,0,31,75.6,4,9.75,0,-27,65.85
88690,REPUBLICA SOCIALISTA DE VIETNA,CONSULADOS,Exterior (consulados),84,33,51,1,0,17,51.51,8,24.24,3,-9,27.27
88135,AZERBAIYAN,CONSULADOS,Exterior (consulados),34,22,12,0,0,11,50.0,3,13.63,3,-8,36.37
88115,GHANA,CONSULADOS,Exterior (consulados),76,45,31,0,0,21,46.66,16,35.55,2,-5,11.11
88430,HAITI,CONSULADOS,Exterior (consulados),24,14,10,1,0,8,57.14,3,21.42,0,-5,35.72
