codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
88495,ITALIA,CONSULADOS,Exterior (consulados),19729,8437,11292,103,0,3313,39.26,3087,36.58,885,-226,2.6799999999999997
88435,PAISES BAJOS,CONSULADOS,Exterior (consulados),6554,3137,3417,33,0,1121,35.73,986,31.43,402,-135,4.299999999999997
88760,SUIZA,CONSULADOS,Exterior (consulados),9072,4510,4562,30,2,1766,39.15,1672,37.07,363,-94,2.0799999999999983
88625,NUEVA ZELANDIA,CONSULADOS,Exterior (consulados),2334,1297,1037,28,0,494,38.08,448,34.54,140,-46,3.539999999999999
88515,KENIA,CONSULADOS,Exterior (consulados),123,68,55,0,0,25,36.76,16,23.52,9,-9,13.239999999999998
50078,LA GUADALUPE,GUAINIA,Amazonía,211,63,148,0,0,25,39.68,24,38.09,5,-1,1.5899999999999963
