codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
07028,BRICEÑO,BOYACA,Boyacá-Cundi rural,2442,1431,1011,17,5,192,13.41,1048,73.23,13,856,-59.82000000000001
01282,URAMITA,ANTIOQUIA,Antioquia rural uribista,6767,2811,3956,39,18,610,21.7,1464,52.08,65,854,-30.38
07340,VIRACACHA,BOYACA,Boyacá-Cundi rural,2485,1504,981,15,4,221,14.69,1073,71.34,33,852,-56.650000000000006
44017,MORELIA,CAQUETA,Sur Tolima-Huila-Caquetá,3975,1840,2135,24,127,386,20.97,1234,67.06,36,848,-46.09
27067,CHIMA,SANTANDER,Santanderes rurales,2594,1620,974,15,10,207,12.77,1052,64.93,20,845,-52.16000000000001
27100,GUAPOTA,SANTANDER,Santanderes rurales,2046,1345,701,7,2,115,8.55,941,69.96,12,826,-61.41
44002,ALBANIA,CAQUETA,Sur Tolima-Huila-Caquetá,4517,2295,2222,48,7,594,25.88,1420,61.87,45,826,-35.989999999999995
07078,CHIVOR,BOYACA,Boyacá-Cundi rural,1897,1132,765,8,2,114,10.07,936,82.68,18,822,-72.61000000000001
27007,ALBANIA,SANTANDER,Santanderes rurales,3617,2007,1610,17,7,396,19.73,1217,60.63,23,821,-40.900000000000006
07301,TENZA,BOYACA,Boyacá-Cundi rural,3593,2206,1387,32,3,513,23.25,1331,60.33,60,818,-37.08
07094,GACHANTIVA,BOYACA,Boyacá-Cundi rural,3010,1813,1197,20,9,368,20.29,1176,64.86,30,808,-44.57
27052,CONTRATACION,SANTANDER,Santanderes rurales,3023,1832,1191,23,8,400,21.83,1199,65.44,25,799,-43.61
88410,GUATEMALA,CONSULADOS,Exterior (consulados),2307,1307,1000,6,0,138,10.55,932,71.3,72,794,-60.75
27040,CEPITA,SANTANDER,Santanderes rurales,2163,1356,807,11,1,195,14.38,989,72.93,19,794,-58.550000000000004
07068,CHIQUIZA,BOYACA,Boyacá-Cundi rural,4769,2383,2386,26,5,689,28.91,1480,62.1,37,791,-33.19
01079,CARAMANTA,ANTIOQUIA,Antioquia rural uribista,4966,2385,2581,28,9,387,16.22,1168,48.97,92,781,-32.75
01223,SAN ANDRES,ANTIOQUIA,Antioquia rural uribista,5751,2237,3514,107,41,427,19.08,1202,53.73,100,775,-34.65
07025,BOYACA,BOYACA,Boyacá-Cundi rural,4550,2413,2137,41,12,673,27.89,1438,59.59,42,765,-31.700000000000003
07085,EL ESPINO,BOYACA,Boyacá-Cundi rural,2184,1325,859,10,4,154,11.62,916,69.13,20,762,-57.51
