codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
31085,RESTREPO,VALLE,Valle del Cauca,16292,7879,8413,149,21,3354,42.56,3543,44.96,160,189,-2.3999999999999986
23123,SAN PEDRO DE CARTAGO,NARIÑO,Sur andino Nariño,5937,3159,2778,101,16,1193,37.76,1382,43.74,39,189,-5.980000000000004
07043,CERINZA,BOYACA,Boyacá-Cundi rural,3658,2307,1351,55,6,785,34.02,974,42.21,92,189,-8.189999999999998
07161,MOTAVITA,BOYACA,Boyacá-Cundi rural,5835,3648,2187,54,3,1528,41.88,1710,46.87,104,182,-4.989999999999995
19046,IQUIRA,HUILA,Sur Tolima-Huila-Caquetá,7907,4681,3226,82,11,1937,41.38,2119,45.26,54,182,-3.8799999999999955
13004,AYAPEL,CORDOBA,Caribe + Magdalena Medio,36724,14331,22393,195,45,6663,46.49,6836,47.7,88,173,-1.2100000000000009
26025,CORDOBA,QUINDIO,Eje cafetero,5596,2936,2660,52,9,1134,38.62,1305,44.44,63,171,-5.82
09058,MARMATO,CALDAS,Eje cafetero,7814,3090,4724,85,23,1092,35.33,1261,40.8,87,169,-5.469999999999999
21012,ARIGUANI (EL DIFICIL),MAGDALENA,Caribe norte,24633,11296,13337,143,33,5064,44.83,5232,46.31,91,168,-1.480000000000004
07060,CUCAITA,BOYACA,Boyacá-Cundi rural,3447,2190,1257,33,4,838,38.26,985,44.97,58,147,-6.710000000000001
29080,MURILLO,TOLIMA,Sur Tolima-Huila-Caquetá,3744,1585,2159,33,6,535,33.75,657,41.45,28,122,-7.700000000000003
23004,ALBAN (SAN JOSE),NARIÑO,Sur andino Nariño,7492,4437,3055,90,12,1674,37.72,1787,40.27,67,113,-2.5500000000000043
01286,VALDIVIA,ANTIOQUIA,Antioquia rural uribista,12594,3395,9199,97,28,1387,40.85,1495,44.03,99,108,-3.1799999999999997
29007,ALVARADO,TOLIMA,Sur Tolima-Huila-Caquetá,9155,4699,4456,61,16,1935,41.17,2028,43.15,46,93,-1.9799999999999969
05027,EL PEÑON,BOLIVAR,Caribe + Magdalena Medio,6847,2736,4111,20,14,1257,45.94,1343,49.08,6,86,-3.1400000000000006
07088,FIRAVITOBA,BOYACA,Boyacá-Cundi rural,6034,3550,2484,81,6,1384,38.98,1461,41.15,139,77,-2.1700000000000017
56001,SAN ANDRES,SAN ANDRES,Caribe insular,48943,16787,32156,618,30,7346,43.76,7404,44.1,511,58,-0.3400000000000034
15172,NARIÑO,CUNDINAMARCA,Bogotá región,2937,1544,1393,14,8,647,41.9,697,45.14,27,50,-3.240000000000002
52046,MAPIRIPAN,META,Llanos petroleros,6175,2670,3505,36,20,1211,45.35,1260,47.19,17,49,-1.8399999999999963
29088,PIEDRAS,TOLIMA,Sur Tolima-Huila-Caquetá,5682,3161,2521,56,9,1374,43.46,1421,44.95,55,47,-1.490000000000002
88505,JAPON,CONSULADOS,Exterior (consulados),1459,525,934,10,1,182,34.66,227,43.23,38,45,-8.57
44006,EL PAUJIL,CAQUETA,Sur Tolima-Huila-Caquetá,11590,5764,5826,201,39,2492,43.23,2531,43.91,71,39,-0.6799999999999997
31088,RIOFRIO,VALLE,Valle del Cauca,15993,8259,7734,114,37,3432,41.55,3460,41.89,176,28,-0.3400000000000034
21073,SAN ZENON,MAGDALENA,Caribe norte,9531,4476,5055,37,7,1870,41.77,1888,42.18,21,18,-0.4099999999999966
13031,PUEBLO NUEVO,CORDOBA,Caribe + Magdalena Medio,27803,14254,13549,175,37,6783,47.58,6801,47.71,114,18,-0.13000000000000256
88275,COREA DEL SUR,CONSULADOS,Exterior (consulados),428,252,176,1,0,82,32.53,96,38.09,30,14,-5.560000000000002
88370,REPUBLICA DE FILIPINAS,CONSULADOS,Exterior (consulados),185,91,94,1,0,29,31.86,37,40.65,6,8,-8.79
88805,URUGUAY,CONSULADOS,Exterior (consulados),1531,781,750,12,0,313,40.07,317,40.58,44,4,-0.509999999999998
88460,INDONESIA,CONSULADOS,Exterior (consulados),101,35,66,0,0,8,22.85,11,31.42,3,3,-8.57
88765,TAILANDIA,CONSULADOS,Exterior (consulados),188,114,74,0,0,43,37.71,46,40.35,13,3,-2.6400000000000006
88455,INDIA,CONSULADOS,Exterior (consulados),95,32,63,1,0,9,28.12,12,37.5,6,3,-9.379999999999999
50092,SAN FELIPE,GUAINIA,Amazonía,925,153,772,4,0,64,41.83,64,41.83,2,0,0.0
88130,ARGELIA,CONSULADOS,Exterior (consulados),22,8,14,0,0,2,25.0,2,25.0,4,0,0.0
