codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
15067,EL COLEGIO,CUNDINAMARCA,Bogotá región,24239,14917,9322,212,19,5011,33.59,7349,49.26,424,2338,-15.669999999999995
01268,TAMESIS,ANTIOQUIA,Antioquia rural uribista,15149,8415,6734,153,58,1964,23.33,4240,50.38,337,2276,-27.050000000000004
31028,CAICEDONIA,VALLE,Valle del Cauca,27415,13933,13482,267,56,4478,32.13,6695,48.05,406,2217,-15.919999999999995
21040,GUAMAL,MAGDALENA,Caribe norte,24667,10333,14334,85,24,3756,36.34,5965,57.72,35,2209,-21.379999999999995
12875,SAN MARTIN,CESAR,Caribe norte,19834,12196,7638,225,40,4333,35.52,6540,53.62,180,2207,-18.099999999999994
27166,PUENTE NACIONAL,SANTANDER,Santanderes rurales,13225,8281,4944,79,14,2470,29.82,4615,55.72,195,2145,-25.9
03007,CAMPO DE LA CRUZ,ATLANTICO,Caribe norte,23605,8464,15141,85,20,2878,34.0,4989,58.94,71,2111,-24.939999999999998
07139,VILLA DE LEIVA,BOYACA,Boyacá-Cundi rural,14104,10037,4067,166,17,3142,31.3,5160,51.4,586,2018,-20.099999999999998
19022,CAMPOALEGRE,HUILA,Sur Tolima-Huila-Caquetá,26179,15201,10978,341,42,5665,37.26,7645,50.29,261,1980,-13.030000000000001
15016,ARBELAEZ,CUNDINAMARCA,Bogotá región,9924,6671,3253,114,9,1781,26.69,3750,56.21,222,1969,-29.52
01205,PUERTO BERRIO,ANTIOQUIA,Magdalena Medio,34906,14764,20142,318,56,5517,37.36,7444,50.41,382,1927,-13.049999999999997
52010,CASTILLA LA NUEVA,META,Llanos petroleros,13442,9888,3554,204,17,3122,31.57,5026,50.82,270,1904,-19.25
01091,CISNEROS,ANTIOQUIA,Antioquia rural uribista,12820,6579,6241,157,28,1639,24.91,3523,53.54,306,1884,-28.63
15030,CACHIPAY,CUNDINAMARCA,Bogotá región,9939,6433,3506,90,10,1716,26.67,3574,55.55,164,1858,-28.879999999999995
26030,FILANDIA,QUINDIO,Eje cafetero,11001,6157,4844,127,25,1496,24.29,3340,54.24,246,1844,-29.950000000000003
29097,RIOBLANCO,TOLIMA,Sur Tolima-Huila-Caquetá,18185,6633,11552,174,53,1723,25.97,3562,53.7,108,1839,-27.730000000000004
09109,SALAMINA,CALDAS,Eje cafetero,14703,7372,7331,141,41,1495,20.27,3311,44.91,219,1816,-24.639999999999997
07253,SANTA ROSA DE VITERBO,BOYACA,Boyacá-Cundi rural,8967,6258,2709,86,10,1649,26.35,3449,55.11,359,1800,-28.759999999999998
26080,QUIMBAYA,QUINDIO,Eje cafetero,31044,16057,14987,333,80,5521,34.38,7320,45.58,606,1799,-11.199999999999996
15218,RICAURTE,CUNDINAMARCA,Bogotá región,13415,8235,5180,123,6,2654,32.22,4451,54.04,205,1797,-21.82
19010,AIPE,HUILA,Sur Tolima-Huila-Caquetá,16324,9162,7162,158,16,3058,33.37,4851,52.94,150,1793,-19.57
07100,GARAGOA,BOYACA,Boyacá-Cundi rural,12611,8186,4425,155,9,2534,30.95,4280,52.28,362,1746,-21.330000000000002
